# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.376974193154e-10       4.367672002760e-15       3.593955685523e-13       0.000000000000e+00       8.180655325770e-09       4.509238133971e-10      -1.887230167077e-12 
    3       1.302888627461e-10       5.780029330529e-15       4.088968662908e-13       0.000000000000e+00       5.085668545669e-09       3.204637122901e-10      -1.455612768818e-12 
    4       1.232414327708e-10       5.171787606777e-15       3.864028160662e-13       0.000000000000e+00       3.544563852686e-09       2.429292177489e-10      -9.781030272356e-13 
    5       1.179506244023e-10       3.573859825657e-15       3.323266560168e-13       0.000000000000e+00       2.647080219128e-09       1.920114390476e-10      -5.670760210404e-13 
    6       1.142773830926e-10       2.055111361640e-15       2.699813668199e-13       0.000000000000e+00       2.066994898243e-09       1.562461144908e-10      -2.554526727850e-13 
    7       1.118754314493e-10       1.109491581108e-15       2.132085514259e-13       0.000000000000e+00       1.667316026299e-09       1.300089208383e-10      -4.822707820196e-14 
    8       1.104813908225e-10       6.908162904886e-16       1.683735678161e-13       0.000000000000e+00       1.378679310266e-09       1.101539943571e-10       6.588025927654e-14 
    9       1.097944200030e-10       5.439070479421e-16       1.373614911676e-13       0.000000000000e+00       1.161851983343e-09       9.472400954149e-11       1.070983766318e-13 
   10       1.096401857630e-10       4.687824565861e-16       1.192799924803e-13       0.000000000000e+00       9.937552901274e-10       8.245147579870e-11       9.928052072184e-14 
   11       1.099124692506e-10       3.970911015519e-16       1.116517304637e-13       0.000000000000e+00       8.367611204820e-10       7.286352099024e-11       6.584556795157e-14 
   12       1.105175052182e-10       3.398857812264e-16       1.115158904824e-13       0.000000000000e+00       7.313611730754e-10       6.444500402174e-11       2.503041710783e-14 
   13       1.113397174581e-10       3.159027313184e-16       1.161399072358e-13       0.000000000000e+00       6.448038393359e-10       5.755657163446e-11      -9.670439468989e-15 
   14       1.123808203152e-10       3.224010661214e-16       1.233226020855e-13       0.000000000000e+00       5.727759215313e-10       5.171050860815e-11      -3.172366946818e-14 
   15       1.135870806959e-10       3.453157119978e-16       1.314968181298e-13       0.000000000000e+00       5.121334374774e-10       4.658230587255e-11      -4.004989465541e-14 
   16       1.149075685373e-10       3.770167718495e-16       1.398167801225e-13       0.000000000000e+00       4.605588786272e-10       4.223588026848e-11      -3.702197738657e-14 
   17       1.163511576399e-10       4.208922961182e-16       1.480482878985e-13       0.000000000000e+00       4.163058704117e-10       3.851492889220e-11      -2.727587667391e-14 
   18       1.178921766311e-10       4.846197378545e-16       1.562328461410e-13       0.000000000000e+00       3.778879088798e-10       3.523590616877e-11      -1.588316599491e-14 
   19       1.195313359063e-10       5.706855778605e-16       1.646354058355e-13       0.000000000000e+00       3.446995917302e-10       3.234580463222e-11      -6.119777569422e-15 
   20       1.212283380303e-10       6.787409784815e-16       1.735676214528e-13       0.000000000000e+00       3.154632169845e-10       2.976005817199e-11      -7.261086109867e-16 
   21       1.229927338625e-10       8.072569545087e-16       1.830610833171e-13       0.000000000000e+00       2.897211781669e-10       2.747861271939e-11       6.441734277449e-17 
