# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.375936853181e-10       4.159328133232e-15       3.519430252673e-13       0.000000000000e+00       8.249179982016e-09       4.500933112483e-10      -1.837951825487e-12 
    3       1.302423692978e-10       5.345468623886e-15       3.953246505836e-13       0.000000000000e+00       5.074967487150e-09       3.198588846859e-10      -1.394987159123e-12 
    4       1.232653265325e-10       4.638993596498e-15       3.699381989244e-13       0.000000000000e+00       3.535967195270e-09       2.424610679778e-10      -9.155892933286e-13 
    5       1.180526406355e-10       3.105870455078e-15       3.153434899118e-13       0.000000000000e+00       2.642805943020e-09       1.916084181790e-10      -5.111506935267e-13 
    6       1.144545341011e-10       1.741344559135e-15       2.542066571182e-13       0.000000000000e+00       2.066312835691e-09       1.559186283290e-10      -2.123732307025e-13 
    7       1.121185940214e-10       9.406692266103e-16       1.997730299175e-13       0.000000000000e+00       1.667966941402e-09       1.297402899698e-10      -2.099005031566e-14 
    8       1.107791592996e-10       6.047433161179e-16       1.578216107412e-13       0.000000000000e+00       1.378622963366e-09       1.099197727284e-10       7.746529502555e-14 
    9       1.101348763911e-10       4.845348479524e-16       1.296775524511e-13       0.000000000000e+00       1.160543871249e-09       9.451189615496e-11       1.058647057017e-13 
   10       1.100150520690e-10       4.132646818566e-16       1.140348862075e-13       0.000000000000e+00       9.916990934652e-10       8.226385485973e-11       8.973304262333e-14 
   11       1.103138960380e-10       3.473481809637e-16       1.082511182768e-13       0.000000000000e+00       8.367658789617e-10       7.271521332111e-11       5.307266241528e-14 
   12       1.109408415487e-10       3.019374028506e-16       1.093140172849e-13       0.000000000000e+00       7.313651348698e-10       6.431742498159e-11       1.334730229082e-14 
   13       1.117805740336e-10       2.887092364859e-16       1.145549574592e-13       0.000000000000e+00       6.448072283015e-10       5.744560569997e-11      -1.729215507940e-14 
   14       1.128359503864e-10       3.002175562860e-16       1.219985526239e-13       0.000000000000e+00       5.727788526908e-10       5.161090290973e-11      -3.409189023414e-14 
   15       1.140562355859e-10       3.245142123003e-16       1.302699702964e-13       0.000000000000e+00       5.121360013034e-10       4.648916319259e-11      -3.764300099973e-14 
   16       1.153882938793e-10       3.586814548054e-16       1.386431363574e-13       0.000000000000e+00       4.605611347793e-10       4.214621400023e-11      -3.148377451912e-14 
   17       1.168430050551e-10       4.080606029663e-16       1.470105746003e-13       0.000000000000e+00       4.163078657878e-10       3.842803200195e-11      -2.072506267521e-14 
   18       1.183943756130e-10       4.782421911307e-16       1.555429278936e-13       0.000000000000e+00       3.778903644226e-10       3.515309580255e-11      -1.023941494223e-14 
   19       1.200432046095e-10       5.697766614394e-16       1.644497029537e-13       0.000000000000e+00       3.447012599639e-10       3.226907454928e-11      -2.677798830177e-15 
   20       1.217497363777e-10       6.808700249004e-16       1.739077684983e-13       0.000000000000e+00       3.154644952856e-10       2.969145050318e-11       1.421563998816e-16 
   21       1.235239305530e-10       8.108066855843e-16       1.838709066513e-13       0.000000000000e+00       2.897224900601e-10       2.741860901192e-11      -1.302550949687e-15 
   22       1.253604146766e-10       9.589248941234e-16       1.941488846523e-13       0.000000000000e+00       2.668606681140e-10       2.543115560237e-11      -5.347749198212e-15 
   23       1.272579516963e-10       1.125408013392e-15       2.044533692650e-13       0.000000000000e+00       2.465658478705e-10       2.366330743372e-11      -1.025894106555e-14 
   24       1.291965414373e-10       1.310530011761e-15       2.144079499102e-13       0.000000000000e+00       2.283700580285e-10       2.202081004226e-11      -1.415362528637e-14 
   25       1.311810129045e-10       1.514441557819e-15       2.236602717261e-13       0.000000000000e+00       2.120599304942e-10       2.052129112677e-11      -1.615673397868e-14 
   26       1.332086572772e-10       1.737453876520e-15       2.318839414397e-13       0.000000000000e+00       1.973408941613e-10       1.919672425135e-11      -1.588842109228e-14 
   27       1.352788446118e-10       1.981415972785e-15       2.390307427792e-13       0.000000000000e+00       1.840372185948e-10       1.801254793553e-11      -1.398521962291e-14 
   28       1.373819262770e-10       2.248665767396e-15       2.451560014509e-13       0.000000000000e+00       1.719204881800e-10       1.690879577189e-11      -1.148278183070e-14 
   29       1.395226770320e-10       2.540716923141e-15       2.502923341421e-13       0.000000000000e+00       1.609291947392e-10       1.588374098134e-11      -8.998633053927e-15 
   30       1.416977996196e-10       2.858846264053e-15       2.544889892530e-13       0.000000000000e+00       1.509455490629e-10       1.494738575346e-11      -7.125320772700e-15 
   31       1.438938539131e-10       3.204266242880e-15       2.578049528135e-13       0.000000000000e+00       1.417662400813e-10       1.410144079264e-11      -6.414213831116e-15 
   32       1.461153862782e-10       3.577875659767e-15       2.602243440322e-13       0.000000000000e+00       1.333442278113e-10       1.333800737804e-11      -6.732567612203e-15 
   33       1.483647640207e-10       3.980401081999e-15       2.617099082604e-13       0.000000000000e+00       1.256203971425e-10       1.263862722086e-11      -7.654581524123e-15 
   34       1.506378917601e-10       4.412519771632e-15       2.622062439397e-13       0.000000000000e+00       1.184871281533e-10       1.198064288761e-11      -8.692218502516e-15 
   35       1.529391742543e-10       4.875098653936e-15       2.615760071013e-13       0.000000000000e+00       1.119080044407e-10       1.136177186789e-11      -9.558154230333e-15 
   36       1.552701179809e-10       5.369030410719e-15       2.596386757021e-13       0.000000000000e+00       1.058302265851e-10       1.078325241415e-11      -9.985974204488e-15 
   37       1.576277979315e-10       5.895163389142e-15       2.562231675938e-13       0.000000000000e+00       1.001747145839e-10       1.024399659661e-11      -9.750283248935e-15 
   38       1.600161061027e-10       6.454288316665e-15       2.512977881763e-13       0.000000000000e+00       9.492699475812e-11       9.743893006129e-12      -8.984730124028e-15 
   39       1.624370559970e-10       7.047141275099e-15       2.448833097449e-13       0.000000000000e+00       9.007061955899e-11       9.281114526303e-12      -7.972150938175e-15 
   40       1.648870190208e-10       7.674402653982e-15       2.370196796381e-13       0.000000000000e+00       8.555952700549e-11       8.850908576526e-12      -7.065250932887e-15 
   41       1.673593056596e-10       8.336714532438e-15       2.277508731275e-13       0.000000000000e+00       8.133412123624e-11       8.447243308474e-12      -6.595696201876e-15 
   42       1.698543339367e-10       9.034748287705e-15       2.170707114335e-13       0.000000000000e+00       7.738202312099e-11       8.069002284920e-12      -6.554918971455e-15 
   43       1.723717808392e-10       9.769152933634e-15       2.049613733413e-13       0.000000000000e+00       7.369274575997e-11       7.715378170671e-12      -6.817019978077e-15 
   44       1.749073347796e-10       1.054053391733e-14       1.914082355230e-13       0.000000000000e+00       7.023945853242e-11       7.384024686819e-12      -7.223234754776e-15 
   45       1.774556453247e-10       1.134943968287e-14       1.763914891889e-13       0.000000000000e+00       6.698857928360e-11       7.071904610004e-12      -7.615940995365e-15 
   46       1.800210971908e-10       1.219632168964e-14       1.598579014980e-13       0.000000000000e+00       6.393503687380e-11       6.778427678879e-12      -7.957615813704e-15 
   47       1.826096269234e-10       1.308155874713e-14       1.417406839861e-13       0.000000000000e+00       6.107533732521e-11       6.503040312761e-12      -8.243968954490e-15 
   48       1.852255075675e-10       1.400546449493e-14       1.219667539751e-13       0.000000000000e+00       5.839692927980e-11       6.244269299263e-12      -8.471014657686e-15 
