# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    1       1.450222654887e-10       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.671318827855e-08       7.336862629520e-10       0.000000000000e+00 
    2       1.495437887227e-10       7.309026172908e-15       4.815171199964e-13       0.000000000000e+00       8.628903610501e-09       4.854772125553e-10      -2.515854151617e-12 
    3       1.409365943207e-10       1.238791651650e-14       6.068719691953e-13       0.000000000000e+00       5.411291721090e-09       3.469573586135e-10      -2.211507031149e-12 
    4       1.324622774411e-10       1.446512635930e-14       6.277976520577e-13       0.000000000000e+00       3.776588552817e-09       2.639785050802e-10      -1.764116067068e-12 
    5       1.257504767403e-10       1.337853519881e-14       5.879551647010e-13       0.000000000000e+00       2.821984230381e-09       2.093815838868e-10      -1.309529286431e-12 
    6       1.208053913277e-10       1.032310747924e-14       5.173990841425e-13       0.000000000000e+00       2.205212283252e-09       1.709429029499e-10      -8.948468925748e-13 
    7       1.173297571958e-10       6.841600365874e-15       4.365335862017e-13       0.000000000000e+00       1.778233642853e-09       1.425663901597e-10      -5.443860558020e-13 
    8       1.150037074219e-10       4.042374146248e-15       3.576623511471e-13       0.000000000000e+00       1.468351550843e-09       1.208855287051e-10      -2.689334595306e-13 
    9       1.135829010684e-10       2.336357197402e-15       2.880590507348e-13       0.000000000000e+00       1.235838580655e-09       1.038809734654e-10      -7.009986703976e-14 
   10       1.128526891626e-10       1.571653533684e-15       2.317799681376e-13       0.000000000000e+00       1.056623420714e-09       9.029297740860e-11       5.745597585231e-14 
   11       1.126728149697e-10       1.345905907616e-15       1.905574141760e-13       0.000000000000e+00       8.886898865261e-10       7.950622631089e-11       1.233291886881e-13 
   12       1.129346479103e-10       1.288312421106e-15       1.640636562139e-13       0.000000000000e+00       7.765278493481e-10       7.028426675532e-11       1.421600855123e-13 
   13       1.135181529548e-10       1.200674797105e-15       1.505300363049e-13       0.000000000000e+00       6.844563326085e-10       6.274647514804e-11       1.277329347085e-13 
   14       1.143248537042e-10       1.054790798607e-15       1.474046707402e-13       0.000000000000e+00       6.078507021424e-10       5.620932690074e-11       9.279532801035e-14 
   15       1.153611556224e-10       9.105397339906e-16       1.516730192295e-13       0.000000000000e+00       5.433693949547e-10       5.074770640447e-11       4.959311327981e-14 
   16       1.165881727399e-10       8.293959318702e-16       1.602914710605e-13       0.000000000000e+00       4.885455304943e-10       4.611880692987e-11       7.232456857712e-15 
   17       1.179228768496e-10       8.287731532264e-16       1.707806937077e-13       0.000000000000e+00       4.415155573928e-10       4.212235062829e-11      -2.792920676620e-14 
   18       1.193693371754e-10       8.811662384725e-16       1.812740517596e-13       0.000000000000e+00       4.006954029585e-10       3.857276508228e-11      -5.233409588926e-14 
   19       1.209354735920e-10       9.538926644082e-16       1.907919252583e-13       0.000000000000e+00       3.654375302883e-10       3.544037683828e-11      -6.510245779264e-14 
   20       1.225654198830e-10       1.013472880278e-15       1.985910052344e-13       0.000000000000e+00       3.343834962635e-10       3.267208108111e-11      -6.706962868524e-14 
   21       1.242710988559e-10       1.062834164846e-15       2.047508486618e-13       0.000000000000e+00       3.070458376650e-10       3.022365555178e-11      -6.038518079717e-14 
