# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    1       6.366276872125e-01       3.183098791702e-01       3.992066108265e-06       9.467053773915e-03       1.671318827855e-08       7.336862629520e-10       0.000000000000e+00 
    2       1.495442760274e-10       7.309265059077e-15       4.815171148055e-13       2.388861367027e-19       8.628903610501e-09       4.854772125553e-10      -2.515854151617e-12 
    3       1.409375667453e-10       1.238839452130e-14       6.068719461064e-13       4.780044789796e-19       5.411291721090e-09       3.469573586135e-10      -2.211507031149e-12 
    4       1.324638933479e-10       1.446592354284e-14       6.277975858836e-13       7.971819671421e-19       3.776588552817e-09       2.639785050802e-10      -1.764116067068e-12 
    5       1.257528917292e-10       1.337973190996e-14       5.879550144260e-13       1.196705766267e-18       2.821984230381e-09       2.093815838868e-10      -1.309529286431e-12 
    6       1.208087576699e-10       1.032478441012e-14       5.173987897646e-13       1.676916266071e-18       2.205212283252e-09       1.709429029499e-10      -8.948468925748e-13 
    7       1.173342233460e-10       6.843838595471e-15       4.365330660500e-13       2.238195798334e-18       1.778233642853e-09       1.425663901597e-10      -5.443860558020e-13 
    8       1.150094176166e-10       4.045255171767e-15       3.576614997266e-13       2.880956134729e-18       1.468351550843e-09       1.208855287051e-10      -2.689334595306e-13 
    9       1.135899950178e-10       2.339962952390e-15       2.880577371257e-13       3.605625259394e-18       1.235838580655e-09       1.038809734654e-10      -7.009986703976e-14 
   10       1.128613018393e-10       1.576066392459e-15       2.317780349533e-13       4.412633937761e-18       1.056623420714e-09       9.029297740860e-11       5.745597585231e-14 
   11       1.126830764946e-10       1.351208675910e-15       1.905546770621e-13       5.302402609169e-18       8.886898865261e-10       7.950622631089e-11       1.233291886881e-13 
   12       1.129466835333e-10       1.294588313327e-15       1.640599038480e-13       6.275329115342e-18       7.765278493481e-10       7.028426675532e-11       1.421600855123e-13 
   13       1.135320831243e-10       1.208007401038e-15       1.505250308406e-13       7.331777740571e-18       6.844563326085e-10       6.274647514804e-11       1.277329347085e-13 
   14       1.143407942177e-10       1.063264028768e-15       1.473981486197e-13       8.472069983871e-18       6.078507021424e-10       5.620932690074e-11       9.279532801035e-14 
   15       1.153792178467e-10       9.202377752229e-16       1.516646922815e-13       9.696477410759e-18       5.433693949547e-10       5.074770640447e-11       4.959311327981e-14 
   16       1.166084638886e-10       8.404031750391e-16       1.602810277908e-13       1.100521684553e-17       4.885455304943e-10       4.611880692987e-11       7.232456857712e-15 
   17       1.179455003043e-10       8.411741251137e-16       1.707678006879e-13       1.239844806767e-17       4.415155573928e-10       4.212235062829e-11      -2.792920676620e-14 
   18       4.884904429450e-08       2.436452240000e-08       4.868246818144e-13       7.246405304206e-10       4.006954029585e-10       3.857276508228e-11      -5.233409588926e-14 
   19       1.209630582367e-10       9.693348480965e-16       1.907730516263e-13       1.543874384628e-17       3.654375302883e-10       3.544037683828e-11      -6.510245779264e-14 
   20      -1.591269830380e-08      -8.017546081245e-09       9.801693069386e-14      -2.384548805134e-10       3.343834962635e-10       3.267208108111e-11      -6.706962868524e-14 
   21       1.243040211232e-10       1.081655448131e-15       2.047244305132e-13       1.881757360072e-17       3.070458376650e-10       3.022365555178e-11      -6.038518079717e-14 
   22       5.303848616545e-09       2.588849239709e-09       2.421613162700e-13       7.699657578143e-11       2.827707673187e-10       2.801369988711e-11      -4.840844999937e-14 
   23       1.279365717806e-10       1.227172459813e-15       2.139233703753e-13       2.253449473469e-17       2.612248133121e-10       2.601113568884e-11      -3.407762181920e-14 
   24      -1.521168081612e-09      -8.254813273518e-10       2.075818390777e-13      -2.455117385078e-11       2.419102146880e-10       2.418236632320e-11      -2.047694259356e-14 
   25       1.317486504132e-10       1.538392513874e-15       2.222217826356e-13       2.658871752068e-17       2.246000751024e-10       2.253677290896e-11      -9.447600338480e-15 
   26       6.769799725521e-10       2.716177166606e-10       2.306367086953e-13       8.078329380498e-12       2.089813704619e-10       2.107676158184e-11      -2.331877070478e-15 
   27       1.357769113119e-10       2.007678386674e-15       2.329801807337e-13       3.097946546846e-17       1.948668547566e-10       1.976942683783e-11       6.620875372127e-16 
   28      -1.671090854624e-10      -1.524603052432e-10       2.373752919400e-13      -4.534452236590e-12       1.820132663105e-10       1.856395034297e-11      -9.525924760909e-17 
   29      -8.140904284718e-11      -1.106405377555e-10       2.444603482854e-13      -3.290670928136e-12       1.703550476522e-10       1.745584848901e-11      -3.801164908978e-15 
   30       1.419713711906e-10       2.920067200964e-15       2.522262632582e-13       3.819584604531e-17       1.597671041828e-10       1.644630547218e-11      -9.226625080697e-15 
   31       2.440885823077e-10       4.999796712020e-11       2.585354775125e-13       1.486964147517e-12       1.500335709919e-10       1.552718044032e-11      -1.492866645278e-14 
   32       2.185056185051e-10       3.612471143657e-11       2.629753877781e-13       1.074342163227e-12       1.411042594832e-10       1.468921494298e-11      -2.002926980135e-14 
   33       1.484586600634e-10       4.070695961030e-15       2.656892039490e-13       4.617016017528e-17       1.329161009911e-10       1.391497677794e-11      -2.370100726418e-14 
   34       1.177581654109e-10      -1.645281452010e-11       2.668348875245e-13      -4.894182172483e-13       1.253545976824e-10       1.318309426789e-11      -2.518539305005e-14 
   35       1.286042837736e-10      -1.214919524292e-11       2.663446540955e-13      -3.614319767986e-13       1.183811082377e-10       1.249406630993e-11      -2.459200571209e-14 
   36       1.551854466078e-10       5.418475916742e-15       2.640842950941e-13       5.490799010793e-17       1.119397475936e-10       1.185261310145e-11      -2.238999361233e-14 
   37       1.716204536337e-10       7.069394137040e-12       2.599635095141e-13       2.101370740994e-13       1.059467512431e-10       1.126054185130e-11      -1.915231729102e-14 
   38       1.752585819686e-10       7.717155727378e-12       2.540971643379e-13       2.293896650571e-13       1.003866710233e-10       1.071670074168e-11      -1.535846266529e-14 
   39       1.708868332344e-10       4.344680201723e-12       2.467017375435e-13       1.290728883054e-13       9.524189578420e-11       1.021646102552e-11      -1.154171827801e-14 
   40       1.646043532062e-10       7.653263663140e-15       2.380572471262e-13       6.776159239034e-17       9.046338871569e-11       9.751315809988e-12      -8.351246195686e-15 
   41       1.622947242813e-10      -2.345194768794e-12       2.284291097578e-13      -6.992571718250e-14       8.598777920053e-11       9.311592906360e-12      -6.389561212238e-15 
   42       1.642338595601e-10      -2.578506452834e-12       2.177935966616e-13      -7.688180037092e-14       8.180192037598e-11       8.896431759734e-12      -5.644107957982e-15 
   43       1.688744347895e-10      -1.470507398977e-12       2.060296745267e-13      -4.394616995280e-14       7.789473293496e-11       8.506510836373e-12      -5.882707560483e-15 
   44       1.742868950449e-10       1.048997092559e-14       1.929917450251e-13       8.201063327701e-17       7.423783279724e-11       8.141180050714e-12      -6.802859594814e-15 
   45       1.786179994983e-10       9.355264839442e-13       1.785226589587e-13       2.757400876918e-14       7.079567616693e-11       7.798904464395e-12      -8.072933902992e-15 
   46       1.816851653146e-10       1.212425040736e-12       1.625013877003e-13       3.578832372851e-14       6.756285818013e-11       7.479022673159e-12      -9.481082707024e-15 
   47       1.838188979109e-10       1.007046498707e-12       1.448067239044e-13       2.965791674895e-14       6.453562145550e-11       7.180319852776e-12      -1.082315855691e-14 
   48       1.854263930981e-10       5.251881340484e-13       1.253029877510e-13       1.530352471825e-14       6.170060572657e-11       6.900435561669e-12      -1.185902892121e-14 
   49       1.869958553733e-10       1.487479087864e-14       1.038391810170e-13       1.018027353908e-16       5.903413369083e-11       6.635781672630e-12      -1.231068872577e-14 
   50       1.889814566975e-10      -2.927681390304e-13       8.029080201514e-14      -9.073209955801e-15       5.650934389259e-11       6.382582654038e-12      -1.195046195482e-14 
   51       1.914113811992e-10      -3.851318895358e-13       5.470063374385e-14      -1.184651380876e-14       5.412152872464e-11       6.140519701902e-12      -1.089820987654e-14 
   52       1.941808530689e-10      -3.172734577024e-13       2.717470884945e-14      -9.855598005883e-15       5.186843968697e-11       5.909933906214e-12      -9.401534038252e-15 
   53       1.971609295323e-10      -1.558654922722e-13      -2.155877108880e-15      -5.083418590499e-15       4.974270477321e-11       5.690761796759e-12      -7.755034378814e-15 
   54       2.001972022242e-10       2.020458867546e-14      -3.313380401757e-14       1.237828411842e-16       4.773148359185e-11       5.482506091281e-12      -6.302661252723e-15 
   55       2.031456613713e-10       1.377455069093e-13      -6.561380148380e-14       3.589178311081e-15       4.582038618544e-11       5.284465703047e-12      -5.357171620855e-15 
   56       2.059936965927e-10       1.895778220054e-13      -9.959126721053e-14       5.099239007093e-15       4.400715959444e-11       5.096559688106e-12      -4.929678423126e-15 
   57       2.087668806504e-10       1.881525459888e-13      -1.351035654807e-13       5.024278578275e-15       4.229079724740e-11       4.918656747336e-12      -4.937035218793e-15 
   58       2.114945862700e-10       1.484732939805e-13      -1.721937573070e-13       3.810530553250e-15       4.066739828344e-11       4.750315166406e-12      -5.277987033515e-15 
   59       2.142101354165e-10       8.821833641441e-14      -2.109109752544e-13       1.983778396188e-15       3.912998879156e-11       4.590763664963e-12      -5.832292675614e-15 
   60       2.169509485694e-10       2.786265125420e-14      -2.513107982632e-13       1.529855627752e-16       3.766834305002e-11       4.438882245811e-12      -6.459847052337e-15 
   61       2.197509472857e-10      -1.386528167129e-14      -2.934438460034e-13      -1.124825068171e-15       3.627182359965e-11       4.293505600072e-12      -7.029627960199e-15 
   62       2.226154314127e-10      -3.508087629281e-14      -3.373177223333e-13      -1.793586618217e-15       3.493905081094e-11       4.154456229146e-12      -7.516114636393e-15 
   63       2.255408020240e-10      -3.883365558490e-14      -3.829271558959e-13      -1.943976194996e-15       3.367009641866e-11       4.021710289948e-12      -7.923052413915e-15 
   64       2.285217159200e-10      -2.876648386706e-14      -4.302650278243e-13      -1.684314943236e-15       3.246357487956e-11       3.895086762060e-12      -8.255605259562e-15 
   65       2.315509891056e-10      -9.141539691646e-15      -4.793223727795e-13      -1.141340441167e-15       3.131656039695e-11       3.774238531371e-12      -8.520424398196e-15 
   66       2.346195002682e-10       1.513371126818e-14      -5.300883799872e-13      -4.609790969351e-16       3.022450394536e-11       3.658643473718e-12      -8.725716937018e-15 
   67       2.377160942563e-10       3.848054333056e-14      -5.825503942760e-13       1.908814549901e-16       2.918115029516e-11       3.547595538523e-12      -8.881314489832e-15 
   68       2.408304800959e-10       5.586452900619e-14      -6.366938452378e-13       6.645415093078e-16       2.818020882420e-11       3.440402827801e-12      -8.997651616048e-15 
   69       2.439628226821e-10       6.678628434027e-14      -6.925020157233e-13       9.451689731685e-16       2.722094455910e-11       3.337048370698e-12      -9.082307374967e-15 
   70       2.471159301505e-10       7.205641016164e-14      -7.499562280863e-13       1.056890234356e-15       2.630357617077e-11       3.237647836710e-12      -9.142883059145e-15 
   71       2.502924117236e-10       7.263118442388e-14      -8.090359111225e-13       1.028165139921e-15       2.542758498728e-11       3.142250829455e-12      -9.188070387508e-15 
   72       2.534946577753e-10       6.961834203061e-14      -8.697185992696e-13       8.919588849814e-16       2.459167687232e-11       3.050837264309e-12      -9.227692247645e-15 
   73       2.567248198961e-10       6.428285466088e-14      -9.319799318056e-13       6.859139015323e-16       2.379374410375e-11       2.963313746049e-12      -9.272743438096e-15 
   74       2.599847909575e-10       5.805271059449e-14      -9.957936520484e-13       4.525217472459e-16       2.303082725213e-11       2.879509946487e-12      -9.335431410648e-15 
   75       2.632761851770e-10       5.252469453743e-14      -1.061131606555e-12       2.392949942770e-16       2.229907705922e-11       2.799174982114e-12      -9.429217012625e-15 
   76       2.666002809725e-10       4.911389473080e-14      -1.127960850948e-12       8.834764119064e-17       2.159471003604e-11       2.722043970714e-12      -9.564915555034e-15 
   77       2.699578815602e-10       4.791565984483e-14      -1.196234359862e-12       2.562786529058e-18       2.091716070394e-11       2.648059720472e-12      -9.738089127318e-15 
   78       2.733493925996e-10       4.864565103678e-14      -1.265898613587e-12      -2.646090887825e-17       2.026643759150e-11       2.577185073669e-12      -9.939418549408e-15 
   79       2.767748367858e-10       5.097620291946e-14      -1.336896281990e-12      -8.409629856562e-18       1.964216305277e-11       2.509334166088e-12      -1.015839969000e-14 
   80       2.802338331511e-10       5.453479772594e-14      -1.409166164385e-12       4.570029510606e-17       1.904355552280e-11       2.444370243738e-12      -1.038330342262e-14 
   81       2.837255763667e-10       5.890253947431e-14      -1.482643129405e-12       1.234770958507e-16       1.846941177319e-11       2.382103479562e-12      -1.060113558175e-14 
   82       2.872488160448e-10       6.361262813243e-14      -1.557258054860e-12       2.111082625396e-16       1.791808916766e-11       2.322288790157e-12      -1.079759691884e-14 
   83       2.908018360400e-10       6.814883378263e-14      -1.632937767618e-12       2.933152476480e-16       1.738748791755e-11       2.264623652489e-12      -1.095704305846e-14 
   84       2.943830404691e-10       7.205494319932e-14      -1.709613389847e-12       3.566011895755e-16       1.687556144745e-11       2.208819420518e-12      -1.106573104166e-14 
   85       2.979928687307e-10       7.528728885466e-14      -1.787247099259e-12       3.997119217090e-16       1.638198357316e-11       2.154833641616e-12      -1.112226506060e-14 
   86       3.016321614817e-10       7.791813593627e-14      -1.865809715531e-12       4.248341886356e-16       1.590672645795e-11       2.102672429414e-12      -1.112881703838e-14 
   87       3.053015718007e-10       8.003024032810e-14      -1.945272768308e-12       4.344667147243e-16       1.544954833824e-11       2.052319454132e-12      -1.108800897687e-14 
   88       3.090015546858e-10       8.171718785781e-14      -2.025608578357e-12       4.314302510195e-16       1.500998465487e-11       2.003734994586e-12      -1.100292814956e-14 
   89       3.127323565538e-10       8.308373354403e-14      -2.106790338721e-12       4.188776221339e-16       1.458733918451e-11       1.956854990197e-12      -1.087714229442e-14 
   90       3.164940047390e-10       8.424614084368e-14      -2.188792195867e-12       4.003037731417e-16       1.418067517098e-11       1.911590093000e-12      -1.071471480673e-14 
   91       3.202862969914e-10       8.533252089926e-14      -2.271589330841e-12       3.795558164717e-16       1.378880645661e-11       1.867824719650e-12      -1.052021993191e-14 
   92       3.241087909761e-10       8.648317178619e-14      -2.355158040420e-12       3.608430788003e-16       1.341028861355e-11       1.825416103434e-12      -1.029875795839e-14 
   93       3.279610033034e-10       8.782126858622e-14      -2.439467742253e-12       3.478687203752e-16       1.304376167562e-11       1.784230139347e-12      -1.005548234925e-14 
   94       3.318430636725e-10       8.935915418009e-14      -2.524455438563e-12       3.410533718750e-16       1.268905656140e-11       1.744257145319e-12      -9.794066783921e-15 
   95       3.357551401533e-10       9.107851623815e-14      -2.610047543960e-12       3.399105650812e-16       1.234623943430e-11       1.705511839756e-12      -9.518034576724e-15 
   96       3.396972308975e-10       9.295871376838e-14      -2.696167589924e-12       3.438859703801e-16       1.201527094103e-11       1.667997662774e-12      -9.231234574435e-15 
   97       3.436691565135e-10       9.497670937436e-14      -2.782736195105e-12       3.523553856255e-16       1.169600216939e-11       1.631706333260e-12      -8.937849649614e-15 
   98       3.476705524415e-10       9.710700151321e-14      -2.869671035613e-12       3.646227249998e-16       1.138817060591e-11       1.596617405930e-12      -8.642405193909e-15 
