# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]    
    2       8.232621880362e-06       3.229846224639e-06 
    3       1.829888885078e-05       6.659647398045e-06 
    4       3.356526567366e-05       1.152141984884e-05 
    5       5.478127915067e-05       1.800328752735e-05 
    6       8.250848127814e-05       2.628898887685e-05 
    7       1.171348678563e-04       3.655181055218e-05 
    8       1.588933173126e-04       4.894874298531e-05 
    9       2.078816536032e-04       6.361788082482e-05 
   10       2.640815231155e-04       8.067763067144e-05 
   11       3.273756740866e-04       1.002267548350e-04 
   12       3.975637447050e-04       1.223449527417e-04 
   13       4.743765001854e-04       1.470939387054e-04 
   14       5.574884875566e-04       1.745185785208e-04 
   15       6.464024322964e-04       2.046477214988e-04 
   16       7.409628493048e-04       2.374949598171e-04 
   17       8.406166315942e-04       2.730596720569e-04 
   18       9.449118449362e-04       3.113281503169e-04 
   19       1.053399364442e-03       3.522757055861e-04 
   20       1.165609178222e-03       3.958657542030e-04 
   21       1.281081629111e-03       4.420530634422e-04 
   22       1.399372512651e-03       4.907825737939e-04 
   23       1.520041944946e-03       5.419896301174e-04 
   24       1.642669866834e-03       5.956021181049e-04 
   25       1.766852879562e-03       6.515479775152e-04 
   26       1.892216133538e-03       7.097456104912e-04 
   27       2.018405243839e-03       7.700789797933e-04 
   28       2.145097159135e-03       8.324236497124e-04 
   29       2.271984150363e-03       8.966980805728e-04 
   30       2.398796464810e-03       9.628385437337e-04 
   31       2.525304383375e-03       1.030777252181e-03 
   32       2.651285810897e-03       1.100400376563e-03 
   33       2.776554919485e-03       1.171575016523e-03 
   34       2.900965873390e-03       1.244166803791e-03 
   35       3.024380262981e-03       1.318062903632e-03 
   36       3.146694981533e-03       1.393158108105e-03 
   37       3.267843518037e-03       1.469347733776e-03 
   38       3.387758300256e-03       1.546521369038e-03 
   39       3.506401114839e-03       1.624568202711e-03 
   40       3.623776692834e-03       1.703379488734e-03 
   41       3.739915103421e-03       1.782848917312e-03 
   42       3.854805459483e-03       1.862872382597e-03 
   43       3.968445239822e-03       1.943349183380e-03 
   44       4.080860086189e-03       2.024182857820e-03 
   45       4.192109748254e-03       2.105280518893e-03 
   46       4.302304866918e-03       2.186549196905e-03 
   47       4.411597497547e-03       2.267899433528e-03 
   48       4.520178514977e-03       2.349246975483e-03 
   49       4.628279224043e-03       2.430513306906e-03 
   50       4.736113192604e-03       2.511624873821e-03 
   51       4.843679400781e-03       2.592509274300e-03 
   52       4.950908442696e-03       2.673098954387e-03 
   53       5.057716459900e-03       2.753332885255e-03 
   54       5.164003938831e-03       2.833157034019e-03 
   55       5.269695539774e-03       2.912522672556e-03 
   56       5.374873925200e-03       2.991379733389e-03 
   57       5.479677070928e-03       3.069682627932e-03 
   58       5.584260534917e-03       3.147392642045e-03 
   59       5.688797853360e-03       3.224478322618e-03 
   60       5.793480936786e-03       3.300915864153e-03 
   61       5.898486805163e-03       3.376686469349e-03 
   62       6.003868171929e-03       3.451766863984e-03 
   63       6.109638891483e-03       3.526137329311e-03 
   64       6.215804794358e-03       3.599784824990e-03 
