# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]        4:dens[3]-dens[3]    
    2       7.240929364190e-06       4.747898091541e-06       3.304327860735e-06 
    3       1.625650398374e-05       1.091436599933e-05       7.726761186551e-06 
    4       3.005621974298e-05       2.050956399241e-05       1.468278784063e-05 
    5       4.936066470193e-05       3.406407217539e-05       2.457177688935e-05 
    6       7.472881113602e-05       5.198832118566e-05       3.770476947167e-05 
    7       1.065563867150e-04       7.457347173602e-05       5.430498878755e-05 
    8       1.450937515760e-04       1.020066231042e-04       7.451987778835e-05 
    9       1.904640748582e-04       1.343851123180e-04       9.843192493090e-05 
   10       2.426797980886e-04       1.717289036634e-04       1.260678188624e-04 
   11       3.016579587840e-04       2.139917175721e-04       1.574065718492e-04 
   12       3.672344293657e-04       2.610710491039e-04       1.923867092366e-04 
   13       4.391769310753e-04       3.128172223971e-04       2.309126662818e-04 
   14       5.171967100481e-04       3.690415541345e-04       2.728605163850e-04 
   15       6.014435653894e-04       4.295236539117e-04       3.180831155733e-04 
   16       6.905929663405e-04       4.944410795704e-04       3.667900267210e-04 
   17       7.847104555762e-04       5.626933910427e-04       4.180539393121e-04 
   18       8.833924836454e-04       6.343723991433e-04       4.720216160952e-04 
   19       9.861661076603e-04       7.093113017755e-04       5.286027577527e-04 
   20       1.092636305785e-03       7.871070951132e-04       5.874924542098e-04 
   21       1.202362511434e-03       8.674656572152e-04       6.484843560957e-04 
   22       1.314899081476e-03       9.501338620423e-04       7.114074486519e-04 
   23       1.429824589032e-03       1.034821821222e-03       7.760566561416e-04 
   24       1.546740574281e-03       1.121238321928e-03       8.422226878743e-04 
   25       1.665253491013e-03       1.209112483961e-03       9.097111142234e-04 
   26       1.784992805515e-03       1.298192998210e-03       9.783400738422e-04 
   27       1.905613038321e-03       1.388236173278e-03       1.047928563141e-03 
   28       2.026799166891e-03       1.479014912394e-03       1.118305218444e-03 
   29       2.148247232178e-03       1.570308921896e-03       1.189305309514e-03 
   30       2.269687341501e-03       1.661919558828e-03       1.260779334763e-03 
   31       2.390887207925e-03       1.753671909376e-03       1.332593144960e-03 
