# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]        4:dens[3]-dens[3]    
    2       4.919301569907e-06       1.830138150157e-06       1.313680946971e-06 
    3       1.133571835190e-05       3.822514586732e-06       2.677788959295e-06 
    4       2.132848270329e-05       6.674435939744e-06       4.548582582866e-06 
    5       3.544409500891e-05       1.050261746592e-05       6.957899498415e-06 
    6       5.410099151834e-05       1.542137414664e-05       9.939570714836e-06 
    7       7.759176817701e-05       2.153618118340e-05       1.352873924207e-05 
    8       1.060998493683e-04       2.894119119470e-05       1.776006000248e-05 
    9       1.397149323974e-04       3.771835846939e-05       2.266664067093e-05 
   10       1.784463009804e-04       4.793733645461e-05       2.827937458513e-05 
   11       2.222347292074e-04       5.965584016582e-05       3.462650328622e-05 
   12       2.709631744047e-04       7.292023131562e-05       4.173336656207e-05 
   13       3.244664125002e-04       8.776625013100e-05       4.962231635804e-05 
   14       3.825396820632e-04       1.042197739118e-04       5.831269737181e-05 
   15       4.453674269527e-04       1.222974401363e-04       6.782085391704e-05 
   16       5.118549958993e-04       1.420071636473e-04       7.816021647316e-05 
   17       5.821365980033e-04       1.633487104410e-04       8.934144426697e-05 
   18       6.559270917204e-04       1.863142555122e-04       1.013724876953e-04 
   19       7.328841902481e-04       2.108896774592e-04       1.142588518886e-04 
   20       8.127376589970e-04       2.370540726463e-04       1.280032371467e-04 
   21       8.951803543013e-04       2.647807242785e-04       1.426062116779e-04 
   22       9.799002983490e-04       2.940376295891e-04       1.580659045668e-04 
   23       1.066599252531e-03       3.247903175158e-04       1.743785912682e-04 
   24       1.154994757450e-03       3.569986886431e-04       1.915384226812e-04 
   25       1.244810381181e-03       3.906085275906e-04       2.095379060559e-04 
   26       1.335785846938e-03       4.255664941685e-04       2.283676647698e-04 
   27       1.427671273675e-03       4.618601272901e-04       2.480167119053e-04 
   28       1.520235589937e-03       4.994791989935e-04       2.684723931982e-04 
   29       1.613257076795e-03       5.383397957721e-04       2.897208315850e-04 
   30       1.706538108844e-03       5.783233746955e-04       3.117466861711e-04 
   31       1.799906305376e-03       6.193113574718e-04       3.345331635003e-04 
   32       1.893192579576e-03       6.612507932159e-04       3.580623504260e-04 
   33       1.986250580782e-03       7.041146176218e-04       3.823151088103e-04 
   34       2.078959422669e-03       7.478755592145e-04       4.072712552077e-04 
   35       2.171202252067e-03       7.924701310482e-04       4.329102632513e-04 
   36       2.262884787359e-03       8.378228094774e-04       4.592109376444e-04 
   37       2.353936446811e-03       8.838581062482e-04       4.861509959589e-04 
   38       2.444286132220e-03       9.305087970702e-04       5.137059886774e-04 
   39       2.533882075727e-03       9.777109608898e-04       5.418501304471e-04 
   40       2.622700790373e-03       1.025402280711e-03       5.705566587148e-04 
   41       2.710736055820e-03       1.073521737525e-03       5.997994723101e-04 
   42       2.797956926355e-03       1.122007622456e-03       6.295585556364e-04 
   43       2.884339299715e-03       1.170799542526e-03       6.598164134232e-04 
   44       2.969878700591e-03       1.219839406559e-03       6.905568011247e-04 
   45       3.054593227070e-03       1.269071136512e-03       7.217615400164e-04 
   46       3.138530981549e-03       1.318438877889e-03       7.533994409917e-04 
   47       3.221766636295e-03       1.367888846682e-03       7.854343480910e-04 
   48       3.304400846391e-03       1.417370223316e-03       8.178281714756e-04 
   49       3.386561402776e-03       1.466835464210e-03       8.505408583973e-04 
   50       3.468368137047e-03       1.516239854320e-03       8.835340048837e-04 
   51       3.549813730412e-03       1.565539298774e-03       9.167829138884e-04 
   52       3.630852544756e-03       1.614692470349e-03       9.502677600071e-04 
   53       3.711433503524e-03       1.663661785403e-03       9.839703737490e-04 
   54       3.791499538954e-03       1.712413679708e-03       1.017874383833e-03 
   55       3.871009581958e-03       1.760917639093e-03       1.051963143713e-03 
   56       3.950012195196e-03       1.809142377416e-03       1.086212581968e-03 
   57       4.028589263820e-03       1.857059192274e-03       1.120596825044e-03 
   58       4.106835373887e-03       1.904643349406e-03       1.155090312154e-03 
   59       4.184858137871e-03       1.951874310022e-03       1.189667851255e-03 
   60       4.262778520185e-03       1.998735958125e-03       1.224304675008e-03 
   61       4.340710444539e-03       2.045215140789e-03       1.258976888496e-03 
   62       4.418693530730e-03       2.091296391797e-03       1.293662803161e-03 
   63       4.496745768829e-03       2.136966421672e-03       1.328342002959e-03 
   64       4.574882579776e-03       2.182215870585e-03       1.362995046086e-03 
   65       4.653116483526e-03       2.227039482151e-03       1.397603533370e-03 
   66       4.731456767196e-03       2.271436277229e-03       1.432150176672e-03 
   67       4.809909153205e-03       2.315409727721e-03       1.466618867285e-03 
   68       4.888477630054e-03       2.358965613020e-03       1.500994185620e-03 
   69       4.967171117206e-03       2.402104696496e-03       1.535259662024e-03 
   70       5.045997560735e-03       2.444828870477e-03       1.569399284811e-03 
   71       5.124961618592e-03       2.487143454775e-03       1.603398080931e-03 
   72       5.204064384062e-03       2.529057311223e-03       1.637242170077e-03 
   73       5.283303109219e-03       2.570582958200e-03       1.670918818791e-03 
   74       5.362670928382e-03       2.611736685170e-03       1.704416494576e-03 
   75       5.442156581567e-03       2.652538667208e-03       1.737724920000e-03 
   76       5.521744995774e-03       2.693010091275e-03       1.770834729761e-03 
   77       5.601419762530e-03       2.733163676876e-03       1.803736250043e-03 
   78       5.681160611811e-03       2.773011626845e-03       1.836420593841e-03 
   79       5.760942339521e-03       2.812568514650e-03       1.868880083481e-03 
   80       5.840734548545e-03       2.851851337644e-03       1.901108296592e-03 
   81       5.920501389791e-03       2.890879570321e-03       1.933100112068e-03 
   82       6.000201303234e-03       2.929675217571e-03       1.964851756037e-03 
   83       6.079786758961e-03       2.968262867933e-03       1.996360847830e-03 
   84       6.159209471861e-03       3.006668742363e-03       2.027625729504e-03 
   85       6.238437606185e-03       3.044917542677e-03       2.058643226032e-03 
   86       6.317440961613e-03       3.083035175855e-03       2.089410596352e-03 
   87       6.396185588711e-03       3.121049747917e-03       2.119926250222e-03 
   88       6.474633621960e-03       3.158991600296e-03       2.150189782136e-03 
   89       6.552743112804e-03       3.196893346211e-03       2.180202005259e-03 
   90       6.630467862682e-03       3.234789907036e-03       2.209964985348e-03 
   91       6.707757256074e-03       3.272718548678e-03       2.239482074678e-03 
   92       6.784556093534e-03       3.310718917946e-03       2.268757945970e-03 
   93       6.860810802534e-03       3.348827283268e-03       2.297797727750e-03 
   94       6.936489501157e-03       3.387058186992e-03       2.326604187997e-03 
   95       7.011564657327e-03       3.425420087997e-03       2.355180187673e-03 
   96       7.086006901539e-03       3.463920868871e-03       2.383529562841e-03 
   97       7.159784947439e-03       3.502567792729e-03       2.411657146264e-03 
   98       7.232865512414e-03       3.541367460024e-03       2.439568788986e-03 
   99       7.305213238178e-03       3.580325765373e-03       2.467271381934e-03 
  100       7.376790611358e-03       3.619447854362e-03       2.494772877500e-03 
  101       7.447557884077e-03       3.658738080373e-03       2.522082311138e-03 
  102       7.517472994548e-03       3.698199961394e-03       2.549209822952e-03 
