# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:z=0.5                    3:z=1    
    2       1.911107257483e-05       7.908793171918e-06 
    3       4.022797317212e-05       1.587059752565e-05 
    4       7.062952227441e-05       2.665813550765e-05 
    5       1.113830982465e-04       4.043565975161e-05 
    6       1.633285068693e-04       5.738492345973e-05 
    7       2.270596772916e-04       7.769115553880e-05 
    8       3.029370080714e-04       1.015325855921e-04 
    9       3.911083667401e-04       1.290734698271e-04 
   10       4.915314780323e-04       1.604598179231e-04 
   11       6.039989553821e-04       1.958165339017e-04 
   12       7.281629602756e-04       2.352456137276e-04 
   13       8.635559721950e-04       2.788266716257e-04 
   14       1.009609109091e-03       3.266177271488e-04 
   15       1.165669767084e-03       3.786549305405e-04 
   16       1.331018932120e-03       4.349530240242e-04 
   17       1.504887562995e-03       4.955060360301e-04 
   18       1.686471615416e-03       5.602889151573e-04 
   19       1.874945715721e-03       6.292616112035e-04 
   20       2.069476891298e-03       7.023656811106e-04 
   21       2.269233879478e-03       7.795298746619e-04 
   22       2.473402303690e-03       8.606675737982e-04 
   23       2.681188479361e-03       9.456806263693e-04 
   24       2.891835093600e-03       1.034457732152e-03 
   25       3.104618157122e-03       1.126877835811e-03 
   26       3.318864893894e-03       1.222809047746e-03 
   27       3.533947867835e-03       1.322111718011e-03 
   28       3.749299003564e-03       1.424637868286e-03 
   29       3.964385029077e-03       1.530234567844e-03 
   30       4.178743082235e-03       1.638742395560e-03 
   31       4.391985996288e-03       1.749996023078e-03 
   32       4.603757592713e-03       1.863827813795e-03 
   33       4.813775552550e-03       1.980066777340e-03 
   34       5.021829672680e-03       2.098538984826e-03 
   35       5.227706148969e-03       2.219069670555e-03 
   36       5.431248251609e-03       2.341483171503e-03 
   37       5.632379293742e-03       2.465603643627e-03 
   38       5.831091905875e-03       2.591256747825e-03 
   39       6.027465323665e-03       2.718269882478e-03 
   40       6.221675748349e-03       2.846472775410e-03 
   41       6.413893711731e-03       2.975697846367e-03 
   42       6.603921998977e-03       3.105779468739e-03 
   43       6.791449652070e-03       3.236555845193e-03 
   44       6.976148643896e-03       3.367870215785e-03 
   45       7.157927987834e-03       3.499570969523e-03 
   46       7.337790319236e-03       3.631510155676e-03 
   47       7.517228755225e-03       3.763545872318e-03 
   48       7.698006292015e-03       3.895543638793e-03 
   49       7.882168975171e-03       4.027377147246e-03 
   50       8.071371200037e-03       4.158927345523e-03 
   51       8.264605154184e-03       4.290077648847e-03 
   52       8.459877823373e-03       4.420718727472e-03 
   53       8.654826250227e-03       4.550750718762e-03 
   54       8.846698334137e-03       4.680083900199e-03 
   55       9.033059782566e-03       4.808636906446e-03 
   56       9.214164609163e-03       4.936329320072e-03 
   57       9.391139887805e-03       5.063088419030e-03 
   58       9.565320089164e-03       5.188852036092e-03 
   59       9.738256172226e-03       5.313569136176e-03 
   60       9.911724675822e-03       5.437200393662e-03 
   61       1.008734511099e-02       5.559714077607e-03 
   62       1.026531121432e-02       5.681071322013e-03 
   63       1.044538974779e-02       5.801238558735e-03 
   64       1.062728379744e-02       5.920192337798e-03 
   65       1.081062943648e-02       6.037919755845e-03 
   66       1.099499238858e-02       6.154418884579e-03 
   67       1.117986469099e-02       6.269699199211e-03 
   68       1.136477356248e-02       6.383778366338e-03 
   69       1.154964108147e-02       6.496670894108e-03 
   70       1.173449172868e-02       6.608397941388e-03 
   71       1.191934617205e-02       6.718991084172e-03 
   72       1.210422079974e-02       6.828492650914e-03 
   73       1.228912725296e-02       6.936956057865e-03 
   74       1.247407195886e-02       7.044446144406e-03 
   75       1.265905566345e-02       7.151039508389e-03 
   76       1.284406152134e-02       7.256807734602e-03 
   77       1.302901789023e-02       7.361762808050e-03 
   78       1.321382787164e-02       7.465902309513e-03 
   79       1.339837946175e-02       7.569225624139e-03 
   80       1.358254484965e-02       7.671733925991e-03 
   81       1.376617971556e-02       7.773430162587e-03 
   82       1.394912252907e-02       7.874319039452e-03 
   83       1.413119384740e-02       7.974407004659e-03 
   84       1.431222046959e-02       8.073736450216e-03 
   85       1.449211403711e-02       8.172494864606e-03 
   86       1.467080423750e-02       8.270923831224e-03 
   87       1.484821482716e-02       8.369286971778e-03 
   88       1.502426334729e-02       8.467870505907e-03 
   89       1.519886083988e-02       8.566983810798e-03 
   90       1.537191156374e-02       8.666959980809e-03 
   91       1.554331271042e-02       8.768156387081e-03 
   92       1.571295412028e-02       8.870955237164e-03 
   93       1.588072801025e-02       8.975669228406e-03 
   94       1.604656044799e-02       9.082241060959e-03 
   95       1.621038410837e-02       9.190499555897e-03 
   96       1.637212853881e-02       9.300249801453e-03 
   97       1.653172001264e-02       9.411272409872e-03 
   98       1.668908138261e-02       9.523322774266e-03 
   99       1.684413193422e-02       9.636130325473e-03 
  100       1.699678723918e-02       9.749397788910e-03 
  101       1.714695900883e-02       9.862800441435e-03 
  102       1.729455494754e-02       9.975985368198e-03 
  103       1.743947860614e-02       1.008857071950e-02 
  104       1.758164103320e-02       1.020024049557e-02 
  105       1.772099783717e-02       1.031104508377e-02 
  106       1.785751688080e-02       1.042114012318e-02 
  107       1.799116691369e-02       1.053069490490e-02 
  108       1.812191755526e-02       1.063989267870e-02 
  109       1.824973927793e-02       1.074893095962e-02 
  110       1.837460339006e-02       1.085802183458e-02 
  111       1.849648201913e-02       1.096739226901e-02 
  112       1.861534809472e-02       1.107728441346e-02 
  113       1.873117533163e-02       1.118795591020e-02 
  114       1.884393821291e-02       1.129968019984e-02 
