# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]    
    2       2.144008927898e-05       7.624487786613e-06 
    3       4.389681137014e-05       1.541646311170e-05 
    4       7.544486708661e-05       2.605685127134e-05 
    5       1.169949617362e-04       3.973414954048e-05 
    6       1.693073379983e-04       5.664992781973e-05 
    7       2.329652670978e-04       7.700563980340e-05 
    8       3.083759586205e-04       1.009927052209e-04 
    9       3.957799774941e-04       1.287860627259e-04 
   10       4.952613395654e-04       1.605402726136e-04 
   11       6.067621778741e-04       1.963867386505e-04 
   12       7.301000531588e-04       2.364321872884e-04 
   13       8.649830242571e-04       2.807596254703e-04 
   14       1.011022274526e-03       3.294290600487e-04 
   15       1.167743577740e-03       3.824771761855e-04 
   16       1.334599090769e-03       4.399179125621e-04 
   17       1.510979605633e-03       5.017434487666e-04 
   18       1.696226032599e-03       5.679261113910e-04 
   19       1.889642465011e-03       6.384221668384e-04 
   20       2.090501854368e-03       7.131687962534e-04 
   21       2.298059186180e-03       7.920894889254e-04 
   22       2.511559210952e-03       8.750917938429e-04 
   23       2.730245765247e-03       9.620709940707e-04 
   24       2.953370372006e-03       1.052908770038e-03 
   25       3.180197286857e-03       1.147476468780e-03 
   26       3.410013392900e-03       1.245634322674e-03 
   27       3.642129695308e-03       1.347234620143e-03 
   28       3.875890293955e-03       1.452121211285e-03 
   29       4.110663469510e-03       1.560132610818e-03 
   30       4.345862248409e-03       1.671100816979e-03 
   31       4.580951898572e-03       1.784851994110e-03 
   32       4.815437205086e-03       1.901209786159e-03 
   33       5.048883405658e-03       2.019994607523e-03 
   34       5.280908101403e-03       2.141024203335e-03 
   35       5.511115392788e-03       2.264115680856e-03 
   36       5.739148969661e-03       2.389085644423e-03 
   37       5.964735094558e-03       2.515750866739e-03 
   38       6.187751608324e-03       2.643929457981e-03 
   39       6.408192955609e-03       2.773441577445e-03 
   40       6.626160923352e-03       2.904110258317e-03 
   41       6.841710247957e-03       3.035761750331e-03 
   42       7.054307813106e-03       3.168224536232e-03 
   43       7.263209429002e-03       3.301331497466e-03 
   44       7.467602287565e-03       3.434921275648e-03 
   45       7.667076447589e-03       3.568838262834e-03 
   46       7.863216345309e-03       3.702930545865e-03 
   47       8.058478609267e-03       3.837052807767e-03 
   48       8.255781031583e-03       3.971067930097e-03 
   49       8.458526134826e-03       4.104847801427e-03 
   50       8.669436307341e-03       4.238272196207e-03 
   51       8.886631777391e-03       4.371223176941e-03 
   52       9.106528786204e-03       4.503590570053e-03 
   53       9.324903381978e-03       4.635274463334e-03 
   54       9.536859060556e-03       4.766185923620e-03 
   55       9.738077867284e-03       4.896244944217e-03 
   56       9.929011791733e-03       5.025372045953e-03 
   57       1.011167592551e-02       5.153495846705e-03 
   58       1.028847348914e-02       5.280556245312e-03 
   59       1.046221347766e-02       5.406505031315e-03 
   60       1.063612830637e-02       5.531306494700e-03 
   61       1.081319291397e-02       5.654933043283e-03 
   62       1.099386355672e-02       5.777349525928e-03 
   63       1.117786046503e-02       5.898526456489e-03 
   64       1.136481716951e-02       6.018445138054e-03 
   65       1.155427598241e-02       6.137098114285e-03 
   66       1.174568347904e-02       6.254489620751e-03 
   67       1.193838597919e-02       6.370636036268e-03 
   68       1.213179293705e-02       6.485561739933e-03 
   69       1.232591565576e-02       6.599284698545e-03 
   70       1.252093011481e-02       6.711828756196e-03 
   71       1.271701849958e-02       6.823228298040e-03 
   72       1.291436897713e-02       6.933528584122e-03 
   73       1.311317547196e-02       7.042786083217e-03 
   74       1.331363744177e-02       7.151068806668e-03 
   75       1.351595965325e-02       7.258456642219e-03 
   76       1.372030352048e-02       7.365026091867e-03 
   77       1.392663137134e-02       7.470800534383e-03 
   78       1.413483324303e-02       7.575791457297e-03 
   79       1.434477160222e-02       7.680013262057e-03 
   80       1.455628012761e-02       7.783483278061e-03 
   81       1.476916249245e-02       7.886221776681e-03 
   82       1.498319114701e-02       7.988251985292e-03 
   83       1.519810610118e-02       8.089600101303e-03 
   84       1.541364562401e-02       8.190321243129e-03 
   85       1.562964685705e-02       8.290582215447e-03 
   86       1.584595972593e-02       8.390592554183e-03 
   87       1.606241583528e-02       8.490580252799e-03 
   88       1.627882778767e-02       8.590792212240e-03 
   89       1.649498850256e-02       8.691494690875e-03 
   90       1.671067053521e-02       8.792973754441e-03 
   91       1.692562539566e-02       8.895535725984e-03 
   92       1.713958286765e-02       8.999507635804e-03 
   93       1.735227460117e-02       9.105159569613e-03 
   94       1.756351042817e-02       9.212457376262e-03 
   95       1.777311231898e-02       9.321273426077e-03 
   96       1.798089078816e-02       9.431460784885e-03 
   97       1.818664454665e-02       9.542852591866e-03 
   98       1.839016015398e-02       9.655261437405e-03 
   99       1.859121167031e-02       9.768478740948e-03 
  100       1.878956030866e-02       9.882274128849e-03 
  101       1.898495408700e-02       9.996394812228e-03 
  102       1.917712748041e-02       1.011056496482e-02 
  103       1.936580107322e-02       1.022448510083e-02 
  104       1.955071623801e-02       1.033790770866e-02 
  105       1.973174525704e-02       1.045087712814e-02 
  106       1.990879549735e-02       1.056352106817e-02 
  107       2.008177574892e-02       1.067597745773e-02 
  108       2.025059626172e-02       1.078839466173e-02 
  109       2.041516878274e-02       1.090093169677e-02 
  110       2.057540659308e-02       1.101375844703e-02 
  111       2.073122454497e-02       1.112705588008e-02 
  112       2.088253909884e-02       1.124101626271e-02 
  113       2.102926836037e-02       1.135584337675e-02 
  114       2.117133211752e-02       1.147175273490e-02 
  115       2.130865187763e-02       1.158897179659e-02 
  116       2.144117148654e-02       1.170769132197e-02 
  117       2.156892175092e-02       1.182791226282e-02 
  118       2.169196377897e-02       1.194958057514e-02 
  119       2.181036931795e-02       1.207263420142e-02 
  120       2.192422097325e-02       1.219700285451e-02 
  121       2.203361242738e-02       1.232260780135e-02 
  122       2.213864865902e-02       1.244936164686e-02 
  123       2.223944616210e-02       1.257716811767e-02 
  124       2.233613316474e-02       1.270592184598e-02 
  125       2.242884984838e-02       1.283550815333e-02 
  126       2.251774856676e-02       1.296580283445e-02 
  127       2.260299406495e-02       1.309667194101e-02 
  128       2.268476369842e-02       1.322797156547e-02 
  129       2.276323966091e-02       1.335956643517e-02 
  130       2.283858423886e-02       1.349138846007e-02 
  131       2.291096224369e-02       1.362338422913e-02 
  132       2.298054891980e-02       1.375549669490e-02 
  133       2.304753010649e-02       1.388766509197e-02 
  134       2.311210239975e-02       1.401982485538e-02 
  135       2.317447331415e-02       1.415190753899e-02 
  136       2.323486144468e-02       1.428384073390e-02 
  137       2.329349662861e-02       1.441554798688e-02 
  138       2.335062010735e-02       1.454694871874e-02 
  139       2.340648468825e-02       1.467795814277e-02 
  140       2.346135490654e-02       1.480848718312e-02 
  141       2.351550718710e-02       1.493844239321e-02 
  142       2.356923000637e-02       1.506772587415e-02 
  143       2.362282405416e-02       1.519623519313e-02 
  144       2.367656806976e-02       1.532387149216e-02 
  145       2.373061221244e-02       1.545056488738e-02 
  146       2.378507443747e-02       1.557625143034e-02 
  147       2.384007384277e-02       1.570086510827e-02 
  148       2.389573063354e-02       1.582433780964e-02 
  149       2.395216608683e-02       1.594659928954e-02 
  150       2.400950251611e-02       1.606757713522e-02 
  151       2.406786323584e-02       1.618719673156e-02 
  152       2.412737252606e-02       1.630538122653e-02 
  153       2.418815559697e-02       1.642205149665e-02 
  154       2.425033855351e-02       1.653712611254e-02 
  155       2.431404835990e-02       1.665052130430e-02 
  156       2.437941280429e-02       1.676215092705e-02 
  157       2.444656046327e-02       1.687192642641e-02 
  158       2.451562066647e-02       1.697975680392e-02 
  159       2.458672346116e-02       1.708554858258e-02 
  160       2.465999957680e-02       1.718920577230e-02 
  161       2.473555560186e-02       1.729064409756e-02 
  162       2.481339712168e-02       1.738983516681e-02 
  163       2.489349868418e-02       1.748676616132e-02 
  164       2.497582782795e-02       1.758142595510e-02 
  165       2.506034493283e-02       1.767380514603e-02 
  166       2.514700307043e-02       1.776389608696e-02 
  167       2.523574785466e-02       1.785169291677e-02 
  168       2.532651729227e-02       1.793719159150e-02 
  169       2.541924163335e-02       1.802038991541e-02 
  170       2.551384322193e-02       1.810128757214e-02 
  171       2.561023634644e-02       1.817988615571e-02 
  172       2.570832709027e-02       1.825618920170e-02 
  173       2.580801318233e-02       1.833020221830e-02 
  174       2.590918384753e-02       1.840193271743e-02 
  175       2.601171965737e-02       1.847139024582e-02 
  176       2.611549238042e-02       1.853858641609e-02 
  177       2.622036483288e-02       1.860353493789e-02 
  178       2.632619072911e-02       1.866625164895e-02 
  179       2.643281453215e-02       1.872675454621e-02 
  180       2.654008560157e-02       1.878506709005e-02 
  181       2.664790220668e-02       1.884122834588e-02 
  182       2.675617073296e-02       1.889528371030e-02 
  183       2.686479160305e-02       1.894728175318e-02 
  184       2.697365917992e-02       1.899727426086e-02 
  185       2.708266167009e-02       1.904531627930e-02 
  186       2.719168102682e-02       1.909146615717e-02 
  187       2.730059285326e-02       1.913578558908e-02 
  188       2.740926630572e-02       1.917833965867e-02 
  189       2.751756399678e-02       1.921919688181e-02 
  190       2.762534189856e-02       1.925842924972e-02 
  191       2.773244924583e-02       1.929611227211e-02 
  192       2.783872843929e-02       1.933232502037e-02 
  193       2.794401494869e-02       1.936715017070e-02 
  194       2.804813721607e-02       1.940067404725e-02 
  195       2.815091655894e-02       1.943298666530e-02 
  196       2.825216707344e-02       1.946418177439e-02 
  197       2.835169553759e-02       1.949435690146e-02 
  198       2.844930131445e-02       1.952361339403e-02 
  199       2.854477625529e-02       1.955205646335e-02 
  200       2.863790460285e-02       1.957979522752e-02 
  201       2.872850010811e-02       1.960693265626e-02 
  202       2.881652053681e-02       1.963353451506e-02 
  203       2.890196116511e-02       1.965965828327e-02 
  204       2.898481831419e-02       1.968536306641e-02 
  205       2.906508936343e-02       1.971070960941e-02 
  206       2.914277276361e-02       1.973576030997e-02 
  207       2.921786805004e-02       1.976057923180e-02 
  208       2.929037585580e-02       1.978523211800e-02 
  209       2.936029792486e-02       1.980978640431e-02 
  210       2.942763712529e-02       1.983431123243e-02 
  211       2.949239746244e-02       1.985887746336e-02 
  212       2.955458409211e-02       1.988355769062e-02 
  213       2.961420333372e-02       1.990842625366e-02 
  214       2.967126268350e-02       1.993355925109e-02 
  215       2.972577082768e-02       1.995903455402e-02 
  216       2.977773765564e-02       1.998493181933e-02 
  217       2.982717427311e-02       2.001133250303e-02 
  218       2.987409301534e-02       2.003831987352e-02 
  219       2.991850746028e-02       2.006597902492e-02 
  220       2.996043244175e-02       2.009439689035e-02 
  221       2.999988406264e-02       2.012366225526e-02 
  222       3.003687970807e-02       2.015386577073e-02 
  223       3.007143805857e-02       2.018509996677e-02 
  224       3.010359021582e-02       2.021744549556e-02 
  225       3.013341384724e-02       2.025092885109e-02 
  226       3.016100126247e-02       2.028556195653e-02 
  227       3.018644853759e-02       2.032135567059e-02 
  228       3.020985555474e-02       2.035831976805e-02 
  229       3.023132604178e-02       2.039646292021e-02 
  230       3.025096761190e-02       2.043579267550e-02 
  231       3.026889180326e-02       2.047631543992e-02 
  232       3.028521411864e-02       2.051803645761e-02 
  233       3.030005406509e-02       2.056095979136e-02 
  234       3.031353519351e-02       2.060508830311e-02 
  235       3.032578513837e-02       2.065042363448e-02 
