# dimensionless total [l(l+1)/2pi] C_l's
# for l=1 to 300, i.e. number of multipoles equal to 299
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:dens[1]-dens[1]        3:dens[2]-dens[2]        4:dens[3]-dens[3]    
    1       2.010191642864e-06       7.146496601877e-07       4.449316132798e-07 
    2       6.335567217766e-06       2.066747626698e-06       1.282664422225e-06 
    3       1.384728789436e-05       4.157582666638e-06       2.528756998340e-06 
    4       2.529388177494e-05       7.113930551785e-06       4.208704972763e-06 
    5       4.126329907092e-05       1.107211895653e-05       6.358377369088e-06 
    6       6.218640132357e-05       1.616449479509e-05       9.019153948648e-06 
    7       8.835481103218e-05       2.251295285042e-05       1.223461740454e-05 
    8       1.199405409533e-04       3.022604556989e-05       1.604832955510e-05 
    9       1.570140454266e-04       3.939795945996e-05       2.050235889987e-05 
   10       1.995600492085e-04       5.010850397016e-05       2.563633525934e-05 
   11       2.474913369980e-04       6.242361356134e-05       3.148684898589e-05 
   12       3.006608743234e-04       7.639608079512e-05       3.808710252420e-05 
   13       3.588725369010e-04       9.206642718940e-05       4.546676670149e-05 
   14       4.218905999965e-04       1.094637966527e-04       5.365194036932e-05 
   15       4.894480807059e-04       1.286067172138e-04       6.266516080431e-05 
   16       5.612540715202e-04       1.495037577207e-04       7.252550057494e-05 
   17       6.370002181444e-04       1.721542318857e-04       8.324871602932e-05 
   18       7.163669609520e-04       1.965488630601e-04       9.484727201561e-05 
   19       7.990263233148e-04       2.226712768574e-04       1.073308192108e-04 
   20       8.846515670267e-04       2.504972922035e-04       1.207054462870e-04 
   21       9.729145873071e-04       2.799970141082e-04       1.349748653485e-04 
   22       1.063496011573e-03       3.111343366739e-04       1.501397569931e-04 
   23       1.156081651649e-03       3.438680180118e-04       1.661986739419e-04 
   24       1.250372099698e-03       3.781516692716e-04       1.831475192417e-04 
   25       1.346076768523e-03       4.139347040871e-04       2.009803090541e-04 
   26       1.442924222173e-03       4.511624707681e-04       2.196887224899e-04 
   27       1.540656764446e-03       4.897769497811e-04       2.392625882758e-04 
   28       1.639038002747e-03       5.297170404088e-04       2.596896852369e-04 
   29       1.737839655194e-03       5.709191372371e-04       2.809564271059e-04 
   30       1.836858812653e-03       6.133174901751e-04       3.030473922793e-04 
   31       1.935919709605e-03       6.568445739528e-04       3.259453599758e-04 
   32       2.034850098047e-03       7.014313538506e-04       3.496320842871e-04 
   33       2.133501920656e-03       7.470078915976e-04       3.740879043251e-04 
   34       2.231754123543e-03       7.935037083441e-04       3.992917576612e-04 
   35       2.329489680524e-03       8.408476882737e-04       4.252217083441e-04 
   36       2.426615241077e-03       8.889689020516e-04       4.518547245655e-04 
   37       2.523062116972e-03       9.377968831364e-04       4.791667445870e-04 
   38       2.618760009750e-03       9.872609645393e-04       5.071331246192e-04 
   39       2.713658263821e-03       1.037291455331e-03       5.357284769883e-04 
   40       2.807735367086e-03       1.087820362204e-03       5.649266590771e-04 
   41       2.900987641111e-03       1.138781319069e-03       5.947009141681e-04 
   42       2.993386247994e-03       1.190108322735e-03       6.250241436955e-04 
   43       3.084909433553e-03       1.241737303713e-03       6.558688674514e-04 
   44       3.175555557309e-03       1.293606973010e-03       6.872072634793e-04 
   45       3.265345600306e-03       1.345658470849e-03       7.190112582002e-04 
   46       3.354329173489e-03       1.397833259195e-03       7.512526175462e-04 
   47       3.442582044619e-03       1.450075269367e-03       7.839030356525e-04 
   48       3.530205887855e-03       1.502331934552e-03       8.169342241902e-04 
   49       3.617329391630e-03       1.554554540871e-03       8.503180020894e-04 
   50       3.704073324292e-03       1.606697530126e-03       8.840263230298e-04 
   51       3.790431981742e-03       1.658715370444e-03       9.180311585534e-04 
   52       3.876361475136e-03       1.710565443041e-03       9.523047383158e-04 
   53       3.961812386326e-03       1.762209310882e-03       9.868196942814e-04 
   54       4.046729179642e-03       1.813613020411e-03       1.021549147517e-03 
   55       4.131072080371e-03       1.864746004281e-03       1.056466652815e-03 
   56       4.214890422442e-03       1.915576779109e-03       1.091545817601e-03 
   57       4.298266491562e-03       1.966076707458e-03       1.126760740386e-03 
