# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.376978922060e-10       4.367904373528e-15       3.593955644966e-13       2.323707258108e-19       8.180655325770e-09       4.509238133971e-10      -1.887230167077e-12 
    3       1.302898062394e-10       5.780494173768e-15       4.088968482162e-13       4.648428254426e-19       5.085668545669e-09       3.204637122901e-10      -1.455612768818e-12 
    4       1.232430002375e-10       5.172562569913e-15       3.864027641289e-13       7.749611066888e-19       3.544563852686e-09       2.429292177489e-10      -9.781030272356e-13 
    5       1.179529663334e-10       3.575022687249e-15       3.323265376921e-13       1.162854649731e-18       2.647080219128e-09       1.920114390476e-10      -5.670760210404e-13 
    6       1.142806465213e-10       2.056740060274e-15       2.699811341408e-13       1.628679727333e-18       2.066994898243e-09       1.562461144908e-10      -2.554526727850e-13 
    7       1.118797594608e-10       1.111664241688e-15       2.132081384689e-13       2.172616661926e-18       1.667316026299e-09       1.300089208383e-10      -4.822707820196e-14 
    8       1.104869221600e-10       6.936112473859e-16       1.683728884689e-13       2.794866284504e-18       1.378679310266e-09       1.101539943571e-10       6.588025927654e-14 
    9       1.098012887799e-10       5.474028644992e-16       1.373604372023e-13       3.495646106673e-18       1.161851983343e-09       9.472400954149e-11       1.070983766318e-13 
   10       1.096485212819e-10       4.730579404607e-16       1.192784319452e-13       4.275186324628e-18       9.937552901274e-10       8.245147579870e-11       9.928052072184e-14 
   11       1.099223959303e-10       4.022253154432e-16       1.116495064007e-13       5.133725776929e-18       8.367611204820e-10       7.286352099024e-11       6.584556795157e-14 
   12       1.105291426239e-10       3.459580485584e-16       1.115128199658e-13       6.071507976635e-18       7.313611730754e-10       6.444500402174e-11       2.503041710783e-14 
   13       1.113531804282e-10       3.229926365233e-16       1.161357807212e-13       7.088777332710e-18       6.448038393359e-10       5.755657163446e-11      -9.670439468989e-15 
   14       1.123962191734e-10       3.305884492423e-16       1.233171830520e-13       8.185775665900e-18       5.727759215313e-10       5.171050860815e-11      -3.172366946818e-14 
