# Matter power spectrum P(k) at redshift z=0
# for k=1.04545e-05 to 1.69273 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045452501306e-05       4.787723381386e+01 
       2.333048505441e-05       1.039700411715e+02 
       3.625171395453e-05       1.591499583138e+02 
       4.925295045149e-05       2.139830705054e+02 
       6.236950762531e-05       2.687958292394e+02 
       7.563758753179e-05       3.238354571280e+02 
       8.909460589209e-05       3.793150562920e+02 
       1.027795311535e-04       4.354320989856e+02 
       1.167332422694e-04       4.923779800930e+02 
       1.309989095809e-04       5.503438308303e+02 
       1.456224031870e-04       6.095245928771e+02 
       1.606527331337e-04       6.701222158420e+02 
       1.761425255721e-04       7.323484010244e+02 
       1.921485386686e-04       7.964271387736e+02 
       2.087322213940e-04       8.625971462081e+02 
       2.259603172469e-04       9.311142840339e+02 
       2.439055133027e-04       1.002253991284e+03 
       2.626471325225e-04       1.076313748672e+03 
       2.822718637098e-04       1.153615549302e+03 
       3.028745185646e-04       1.234508328037e+03 
       3.245587985560e-04       1.319370290406e+03 
       3.474380454262e-04       1.408611023131e+03 
       3.716359376681e-04       1.502673200459e+03 
       3.972870810329e-04       1.602033711992e+03 
       4.245374240445e-04       1.707203909817e+03 
       4.535444101466e-04       1.818728638479e+03 
       4.844767578357e-04       1.937183618467e+03 
       5.175137414733e-04       2.063170755435e+03 
       5.528438325036e-04       2.197310840111e+03 
       5.906625593754e-04       2.340233221683e+03 
       6.311694619269e-04       2.492562074599e+03 
       6.745640602607e-04       2.654899120165e+03 
       7.210408356515e-04       2.827802996706e+03 
       7.707833336025e-04       3.011765897858e+03 
       8.239576402228e-04       3.207188704402e+03 
       8.807056346168e-04       3.414356308874e+03 
       9.411385523009e-04       3.633415248449e+03 
       1.005331471105e-03       3.864356105952e+03 
       1.073319318002e-03       4.107002802147e+03 
       1.145094875504e-03       4.361010549740e+03 
       1.220609049273e-03       4.625872824614e+03 
       1.299773383283e-03       4.900937867871e+03 
       1.382464533267e-03       5.185409750310e+03 
       1.468530192593e-03       5.478420491593e+03 
       1.557795847699e-03       5.779055356956e+03 
       1.650071734029e-03       6.086347443048e+03 
       1.745159450292e-03       6.399322678544e+03 
       1.842857833300e-03       6.717022841951e+03 
       1.942967858064e-03       7.038523982721e+03 
       2.045296476369e-03       7.362950226393e+03 
       2.149659422745e-03       7.689483095017e+03 
       2.255883093268e-03       8.017367540340e+03 
       2.363805643078e-03       8.345913718220e+03 
       2.473277460590e-03       8.674496868826e+03 
       2.584161169464e-03       9.002555837811e+03 
       2.696331291429e-03       9.329588341260e+03 
       2.809673680571e-03       9.655149327987e+03 
       2.924084816604e-03       9.978844024038e+03 
       3.039471023588e-03       1.030032625374e+04 
       3.155747662576e-03       1.061929067406e+04 
       3.272838332073e-03       1.093547304782e+04 
       3.390674098841e-03       1.124864012469e+04 
       3.509192773017e-03       1.155859252839e+04 
       3.628338235268e-03       1.186515625083e+04 
       3.748059819280e-03       1.216818305170e+04 
       3.868311749847e-03       1.246754499347e+04 
       3.989052634864e-03       1.276313538888e+04 
       4.110245008277e-03       1.305486526474e+04 
       4.231854920393e-03       1.334265674495e+04 
       4.353851571615e-03       1.362645004872e+04 
       4.476206985635e-03       1.390619652765e+04 
       4.598895718198e-03       1.418185843595e+04 
       4.721894597783e-03       1.445340200372e+04 
       4.845182494784e-03       1.472076454039e+04 
       4.968740116072e-03       1.498402696322e+04 
       5.092549822110e-03       1.524310518899e+04 
       5.216595464072e-03       1.549802418022e+04 
       5.340862238690e-03       1.574883451551e+04 
       5.465336558799e-03       1.599551398137e+04 
       5.590005937793e-03       1.623804353587e+04 
       5.714858886378e-03       1.647571131594e+04 
       5.839884820237e-03       1.671001055304e+04 
       5.965073977350e-03       1.694021530933e+04 
       6.090417343874e-03       1.716631064963e+04 
       6.215906587633e-03       1.738846913723e+04 
       6.341533998348e-03       1.760663184062e+04 
       6.467292433864e-03       1.782092419071e+04 
       6.593175271721e-03       1.803133165928e+04 
       6.719176365468e-03       1.823755617849e+04 
       6.845290005225e-03       1.843966004462e+04 
       6.971510882019e-03       1.863830795673e+04 
       7.097834055509e-03       1.883308890194e+04 
       7.224254924732e-03       1.902405138113e+04 
       7.350769201555e-03       1.921115637111e+04 
       7.477372886569e-03       1.939437498224e+04 
       7.604062247151e-03       1.957426168721e+04 
       7.730833797500e-03       1.975039177207e+04 
       7.857684280434e-03       1.992345919726e+04 
       7.984610650777e-03       2.009239422148e+04 
       8.111610060188e-03       2.025779183503e+04 
       8.238679843281e-03       2.041973931900e+04 
       8.365817504921e-03       2.057818789360e+04 
       8.493020708584e-03       2.073321630120e+04 
       8.620287265680e-03       2.088486057231e+04 
       8.747615125745e-03       2.103314428530e+04 
       8.875002367434e-03       2.117812806446e+04 
       9.002447190232e-03       2.131975339493e+04 
       9.129947906824e-03       2.145816272127e+04 
       9.257502936065e-03       2.159338582613e+04 
       9.385110796496e-03       2.172542622809e+04 
       9.512770100362e-03       2.185433971079e+04 
       9.640479548082e-03       2.198013339310e+04 
       9.768237923147e-03       2.210285607422e+04 
       9.896044087391e-03       2.222251092192e+04 
       1.002389697662e-02       2.233918731956e+04 
       1.015179559656e-02       2.245287785743e+04 
       1.027973901912e-02       2.256363578297e+04 
       1.040772637887e-02       2.267148978461e+04 
       1.053575686988e-02       2.277646832790e+04 
       1.066382974266e-02       2.287866583247e+04 
       1.079194430141e-02       2.297790121687e+04 
       1.092009990143e-02       2.307452463259e+04 
       1.104829594674e-02       2.316824038686e+04 
       1.117653188780e-02       2.325933143374e+04 
       1.130480721947e-02       2.334772198866e+04 
       1.143312147909e-02       2.343347871040e+04 
       1.156147424463e-02       2.351665421256e+04 
       1.168986513310e-02       2.359711026858e+04 
       1.181829379893e-02       2.367506859441e+04 
